Run ID,Player ID,Place,Speedrun Time,Verified,Examiner ID,Platform ID,Platform Name,Category ID,Category Name,Player Name,Player Country,Player Pronouns
z1pv6k9z,8qov04qj,152,15.7,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Brunovigorito,br,Not Mentioned
yope0g1m,xz1k6w0j,152,15.7,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,Eclipse82,Not Mentioned,Not Mentioned
yopgjdjm,8r3dddq8,152,15.7,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Bruno_Passos_07,br,Not Mentioned
zxn431qm,x76e3qyj,152,15.7,TRUE,8l0qwkr8,lq60nl94,Android,zd3l938d,Coins,chemsi69,cl,Not Mentioned
m3xojj6m,xz13on4j,160,15.708,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Belo08,Not Mentioned,Not Mentioned
y9vkdeem,joogye7j,161,15.72,TRUE,8e913qdj,lq60nl94,Android,zd3l938d,Coins,Lk2_toxic,Not Mentioned,Not Mentioned
yvo1lv4z,xkmzmp6j,162,15.733,TRUE,1xyy9oyx,gde3xgek,iOS,zd3l938d,Coins,LTChicken,ca,He/Him
y2pj946z,j4v7o0wj,162,15.733,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,01Shika01,Not Mentioned,He/Him
zx73875y,x7we2kq8,162,15.733,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Kisamezin_Gui,br,He/Him
yddno6qy,81kd7grj,162,15.733,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,CauaFelipe,br,Not Mentioned
zp9673nm,j957y3n8,162,15.733,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Jefax,br,Not Mentioned
y20odw6m,j5vnqvn8,167,15.745,TRUE,1xyy9oyx,lq60nl94,Android,zd3l938d,Coins,Fujiwarah,br,She/Her
z0pq7qjy,8dgk7lm8,168,15.75,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,MKplay,Not Mentioned,Not Mentioned
m76o1g9y,8r3q1r68,169,15.759,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,PedroHernane,Not Mentioned,Not Mentioned
m33j9jwm,8qok71dj,170,15.76,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Joao_marilia,br,Not Mentioned
y8vkn5wz,xz9qeg48,171,15.767,TRUE,8l4n3klj,lq60nl94,Android,zd3l938d,Coins,execut4bleYT,ru,Not Mentioned
z12q43wy,xzlrnl08,171,15.767,TRUE,1xyy9oyx,lq60nl94,Android,zd3l938d,Coins,CHAPOLINCH008,br,He/Him
z0pn3eey,8r3rvgd8,171,15.767,TRUE,8e913qdj,lq60nl94,Android,zd3l938d,Coins,_Dylo,au,Not Mentioned
